#{"t_start": 1644413010.7135012, "env_id": "LunarLanderContinuous-v2"}
r,l,t
184.484236,680,1302.631167
62.294085,1000,1306.479399
-1.390607,1000,1311.302701
8.089963,1000,1315.364151
30.910773,1000,1319.595965
19.261025,1000,1323.329418
4.571915,1000,1327.723665
-27.357006,1000,1331.992575
-30.129286,1000,1335.678203
18.379713,1000,1339.626063
-4.475227,1000,1343.584017
279.983535,788,1346.526337
-9.859903,1000,1350.983202
-10.227029,1000,1354.107913
-26.359774,1000,1358.203056
-15.609853,1000,1362.729272
20.578727,1000,1367.251472
16.449247,1000,1371.600072
-26.33484,1000,1375.975252
12.42807,1000,1379.959302
2.914672,1000,1383.998761
-31.499205,1000,1388.114564
27.397228,1000,1392.296856
-20.219139,1000,1396.784657
-40.060069,1000,1400.750327
133.142377,1000,1404.358974
251.699881,326,1405.269957
284.937708,278,1406.104508
-30.524454,337,1407.640392
251.07443,373,1408.948839
-26.242146,1000,1412.456672
-2.392602,1000,1416.255322
222.261061,423,1417.667094
296.662693,208,1418.198953
-2.539202,1000,1422.325817
232.910328,907,1425.929781
257.920559,233,1426.72732
197.22546,943,1430.301476
20.997905,1000,1434.763981
221.902988,867,1438.363443
6.012799,1000,1442.83355
235.204737,252,1443.46142
8.322867,1000,1448.577225
267.164421,642,1450.786503
285.29262,517,1452.388511
-18.106875,139,1452.696567
-30.598399,1000,1457.988494
15.628432,1000,1461.984129
285.07365,854,1465.033771
290.41111,409,1466.331066
269.533611,763,1468.971338
-8.641115,133,1469.452315
38.300718,152,1469.82381
268.690746,278,1470.681752
266.460215,581,1472.722443
277.899905,295,1473.613622
271.644603,648,1475.783955
126.718308,1000,1479.409663
218.622678,493,1481.113878
212.379503,183,1481.734295
25.696621,134,1482.004386
220.061005,218,1482.82313
238.986653,200,1483.847768
231.691979,559,1485.419875
239.10025,771,1487.9609
-122.909915,985,1491.461797
250.378693,408,1492.744285
37.479912,160,1493.042897
59.127142,147,1493.622501
44.00921,142,1493.899489
8.45475,140,1494.339908
47.444591,138,1494.699488
266.464487,262,1495.608788
247.362097,180,1496.135575
176.951874,1000,1499.724016
-29.40755,1000,1503.802876
12.274893,135,1504.07902
-9.453048,108,1504.337652
274.032021,786,1507.175443
11.425761,129,1507.505122
184.330995,854,1510.534853
-11.244436,325,1511.445581
239.630161,256,1512.093313
181.338398,412,1513.647025
265.058318,534,1515.350368
235.451766,242,1516.029954
272.859974,366,1517.72921
-607.875798,238,1518.332402
44.900619,217,1519.090518
162.911702,799,1522.139472
-387.176682,453,1523.389175
-52.446779,1000,1526.793521
-27.22716,1000,1530.198287
221.796115,278,1531.084068
-5.804038,1000,1534.34714
220.717447,143,1534.697695
-241.367002,567,1536.75955
-339.573752,654,1539.392585
207.407073,607,1541.882248
233.913198,244,1542.451439
2.024606,1000,1546.320074
280.301975,375,1547.636363
271.891864,211,1548.197439
286.318636,144,1548.577175
233.548253,224,1549.284916
287.617324,157,1549.663996
235.705875,251,1550.458292
218.029903,359,1551.917845
220.775511,284,1552.776364
304.882887,224,1553.352211
103.669389,1000,1556.937159
16.115801,167,1557.471797
270.914973,249,1558.11981
221.3123,967,1562.788277
254.841029,444,1564.25607
286.160876,283,1564.955981
252.83037,181,1565.496845
285.797542,314,1566.447726
-381.668973,431,1568.044727
180.74481,735,1570.816119
64.127178,1000,1574.649535
218.994229,133,1574.946663
183.683037,561,1576.921779
267.173805,258,1577.761094
235.725576,331,1578.694956
151.788945,1000,1582.18543
277.941101,164,1582.547878
209.312905,511,1584.618047
142.701714,1000,1588.670042
264.554791,199,1589.159674
226.167489,275,1589.846519
221.788781,566,1591.749186
-27.313013,1000,1596.340409
245.581519,251,1597.020708
233.440401,202,1597.785381
282.27816,182,1598.118049
235.348386,205,1598.707064
252.845965,249,1599.583003
267.538999,243,1600.445972
299.952331,193,1601.027615
268.958527,184,1601.662814
265.286872,179,1602.151309
261.908172,306,1603.059011
225.79519,417,1604.362578
222.673043,796,1607.083786
254.768674,364,1608.338737
235.005243,475,1609.917935
15.441311,1000,1613.65884
-1.005941,1000,1617.016387
259.940957,483,1618.666265
241.715408,461,1620.126689
215.071759,383,1621.384157
-5.295779,1000,1625.452656
25.810122,1000,1628.901789
262.445393,212,1629.47493
98.427665,1000,1633.434644
257.40983,252,1634.066343
289.938222,354,1635.278433
262.535844,198,1635.878136
265.736915,302,1636.807169
243.68877,227,1637.392838
270.394789,226,1638.038374
242.461384,610,1640.106955
3.399231,1000,1644.233468
282.873814,311,1645.160575
252.296491,296,1646.073452
228.871679,323,1647.001069
253.60462,174,1647.605718
260.21543,286,1648.224126
215.803827,226,1649.023641
289.74383,134,1649.326003
244.194934,245,1649.999722
267.725421,423,1651.632696
255.453628,448,1653.066073
-18.393837,1000,1658.110295
-9.793321,1000,1662.636696
290.968323,162,1663.282709
261.32276,237,1663.957678
295.40839,188,1664.526353
281.297875,259,1665.424194
314.69623,204,1666.009612
-39.684176,1000,1669.70416
277.124031,312,1670.733249
297.172279,196,1671.267275
-8.554137,1000,1675.273931
230.506316,212,1675.861366
46.21448,1000,1679.523422
11.320658,1000,1683.394749
268.00915,428,1684.719489
202.731433,351,1685.894828
148.816936,1000,1689.125247
223.822535,301,1690.043096
265.149621,260,1690.673678
241.859319,290,1691.489762
106.021509,994,1695.480502
200.647969,308,1696.447654
25.322651,1000,1700.497655
-21.302865,400,1701.933932
231.551799,280,1702.864165
278.499663,246,1703.447552
287.528953,174,1704.031483
226.442796,336,1705.141363
242.735222,148,1705.409414
208.079444,294,1706.319972
267.8837,217,1706.979036
211.895299,207,1707.517109
269.911237,207,1708.080213
247.914533,200,1708.577347
-34.144938,1000,1712.045957
296.588256,224,1712.829779
250.021911,174,1713.122428
242.877318,183,1713.673448
196.797066,277,1714.509951
273.905953,165,1715.084319
21.0557,129,1715.353291
242.020682,307,1716.358689
266.633202,173,1716.911343
279.749651,231,1717.451423
265.019641,180,1718.047755
288.081257,159,1718.352971
212.135671,174,1718.921395
268.083744,211,1719.474017
225.626335,280,1720.324392
272.530605,267,1721.17846
268.747758,197,1721.775536
268.963197,367,1722.848144
286.94668,264,1723.660682
273.997131,419,1724.956574
274.695283,250,1726.301246
211.596551,256,1726.954721
276.121157,327,1727.897573
207.996886,225,1728.764591
293.371585,222,1729.295063
181.928474,284,1730.203727
234.614402,255,1730.827384
222.188313,191,1731.353349
273.125253,197,1731.984785
274.487715,217,1732.547065
214.76704,284,1733.423835
237.827662,261,1734.277589
301.706844,263,1734.969873
209.029433,210,1735.757095
276.972834,245,1736.342147
229.217746,216,1736.975586
275.608981,162,1737.474269
279.798258,162,1737.839821
266.48634,179,1738.354297
227.982975,198,1738.935332
274.693939,268,1739.799144
284.090826,203,1740.363816
271.151561,333,1741.317428
279.752037,224,1741.901203
306.009626,265,1742.745866
265.209545,159,1743.267748
264.464356,204,1743.850384
286.961784,244,1744.41463
268.269109,254,1745.265305
198.629153,594,1747.314784
249.542749,157,1747.63487
285.575728,212,1748.232117
288.131703,241,1749.084623
269.913136,186,1749.644433
261.32691,374,1750.686595
236.424645,167,1751.176951
276.930636,181,1751.71554
315.810422,243,1752.344266
289.793096,259,1753.16051
227.430719,258,1753.835397
219.316409,228,1754.598511
271.639113,188,1755.743938
2.156184,104,1756.015742
209.875028,195,1756.5287
291.93581,293,1757.264049
263.9639,184,1757.837798
274.039826,286,1758.703898
249.447753,253,1759.483668
286.1792,264,1760.154752
282.774857,234,1760.994878
276.031161,273,1761.646688
274.833644,258,1762.500125
287.921278,321,1763.54651
291.90051,227,1764.141057
250.083806,239,1764.960818
267.705214,209,1765.469722
188.652861,208,1766.072577
221.900683,185,1766.580468
284.835191,253,1767.199608
-9.975472,114,1767.71611
263.966969,198,1768.277621
175.290328,282,1768.974167
278.186624,267,1769.853489
301.323513,274,1770.73871
273.824325,198,1771.277435
269.355134,257,1771.975515
284.934377,222,1772.794987
306.407596,232,1773.377743
275.931858,202,1773.986612
266.104063,324,1774.926666
270.160321,274,1775.774425
156.136352,519,1777.431186
222.748945,456,1778.97386
227.141829,345,1779.948826
270.709902,205,1780.497181
247.515327,270,1781.384721
271.593621,223,1782.037372
232.879879,182,1782.556971
208.262261,541,1784.222206
297.058752,294,1785.09256
255.826232,206,1786.156492
79.111788,197,1786.7191
259.940336,183,1787.236566
49.671833,139,1787.517178
260.668014,337,1788.709372
265.685468,282,1789.572066
282.761857,311,1790.507556
268.530638,211,1791.112132
273.312882,357,1792.133098
248.078362,267,1792.999627
297.381967,232,1793.544411
253.661867,441,1795.094368
282.671593,284,1795.948457
54.664435,111,1796.208775
237.6115,255,1796.868248
280.201048,200,1797.3638
277.60965,212,1797.980731
261.105651,176,1798.481924
255.91298,311,1799.377954
257.746935,526,1801.374962
263.418157,194,1801.98255
287.99497,315,1802.945598
185.786447,1000,1806.223022
277.183906,313,1807.145682
50.188692,91,1807.404428
272.828272,209,1808.013016
257.190386,189,1808.523175
273.959754,139,1808.881402
180.648196,1000,1812.363933
234.124623,184,1812.94692
256.897107,193,1813.462247
284.103534,207,1814.105336
257.350109,194,1814.633446
264.315721,304,1815.539736
288.759004,298,1816.484794
193.529028,499,1818.934652
276.156005,297,1819.845761
256.341672,156,1820.136392
271.107668,248,1821.014573
276.577176,257,1821.614813
287.396388,274,1822.489112
257.086511,343,1823.715498
204.693723,233,1824.320853
16.94762,91,1824.565688
256.897517,292,1825.451962
253.79607,332,1826.394451
269.622937,251,1827.223929
301.045849,182,1827.529173
260.372,186,1828.120333
291.028935,163,1828.594038
246.267925,226,1829.222298
274.194564,264,1830.078181
286.344526,206,1830.611143
289.526822,175,1831.18719
281.529314,191,1831.768351
262.096812,180,1832.105702
66.752768,91,1832.3814
-191.408595,288,1833.287514
291.292735,195,1833.869743
239.040538,183,1834.389142
291.133716,299,1835.283872
260.276809,203,1835.919948
236.874601,482,1837.590632
280.209029,214,1838.190776
237.750544,352,1839.243341
300.190931,219,1840.063445
260.937422,366,1841.098673
245.866693,192,1841.606198
250.632381,328,1842.578557
59.297029,111,1843.141179
290.896373,283,1843.866786
254.43047,217,1844.642232
253.005594,341,1845.592078
304.169166,337,1846.53388
284.606998,308,1847.495673
281.595097,555,1850.030802
272.061681,445,1851.531017
277.767509,304,1852.459348
284.690651,211,1853.241
278.941948,376,1854.26149
44.522458,178,1854.877007
245.086587,174,1855.359613
292.452185,268,1856.207664
259.829643,244,1856.859871
267.932916,229,1857.445432
